ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_is_cornerstone,Meta: _yoast_wpseo_content_score,Meta: _download_type,Meta: _yoast_wpseo_focuskw_text_input,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _wpas_done_all
1055,simple,,gw44220,1,0,visible,JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 380X300X180 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44220.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44220-300x162.png"" alt="""" width=""300"" height=""162"" class=""alignnone size-medium wp-image-1056"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44220,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44220-1.jpg,,,,,,,,,0,14,,30,,,,,,,
1060,simple,,Gw44221,1,0,visible,JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 460X380X180 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44221.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44221-300x161.png"" alt="""" width=""300"" height=""161"" class=""alignnone size-medium wp-image-1063"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44221",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44221-1.jpg,,,,,,,,,0,14,,30,,,,,,,
1064,simple,,Gw44234,1,0,visible,"JUNCTION BOXES WITH PLAIN QUICK FIXING LID A 1/4 TURN - IP55 - INTERNAL DIMENSIONS 100X100X50 - SMOOTH WALLS 
\n
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44234-spec.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44234-spec-300x163.png"" alt="""" width=""300"" height=""163"" class=""alignnone size-medium wp-image-1065"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44234,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44234.jpg,,,,,,,,,0,14,,30,,,,,,,
1067,simple,,Gw44236,1,0,visible,"JUNCTION BOXES WITH PLAIN QUICK FIXING LID A 1/4 TURN - IP55 - INTERNAL DIMENSIONS 150X110X70 - SMOOTH WALLS 
\n
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44236.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44236-300x161.png"" alt="""" width=""300"" height=""161"" class=""alignnone size-medium wp-image-1069"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44236,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44236.jpg,,,,,,,,,0,14,,30,,,,,,,
1070,simple,,Gw44001,1,0,visible,JUNCTION BOXES WITH PLAIN PRESS-ON LID IP44 - INTERNAL DIMENSIONS Ø 65X35 - WALLS WITH CABLE GLANDS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44001.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44001-300x152.png"" alt="""" width=""300"" height=""152"" class=""alignnone size-medium wp-image-1071"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Enclosure, gw44001",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44001.jpg,,,,,,,,,0,14,,30,,,,,,,
1074,simple,,Gw44002,1,0,visible,JUNCTION BOXES WITH PLAIN PRESS-ON LID IP44 - INTERNAL DIMENSIONS Ø 80X40 - WALLS WITH CABLE GLANDS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44002.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44002-300x165.png"" alt="""" width=""300"" height=""165"" class=""alignnone size-medium wp-image-1075"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44002",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44002.jpg,,,,,,,,,0,14,,30,,,,,,,
1077,simple,,Gw44003,1,0,visible,JUNCTION BOXES WITH PLAIN PRESS-ON LID IP44 - INTERNAL DIMENSIONS 80X80X40 - WALLS WITH CABLE GLANDS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44003.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44003-300x154.png"" alt="""" width=""300"" height=""154"" class=""alignnone size-medium wp-image-1078"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44003",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44003.jpg,,,,,,,,,0,14,,30,,,,,,,
1081,simple,,Gw44004,1,0,visible,JUNCTION BOXES WITH PLAIN SCREWED LID - IP55 - INTERNAL DIMENSIONS 100X100X50 - WALLS WITH CABLE GLANDS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44004.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44004-300x158.png"" alt="""" width=""300"" height=""158"" class=""alignnone size-medium wp-image-1082"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44004",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44004.jpg,,,,,,,,,0,14,,30,,,,,,,
1084,simple,,Gw44005,1,0,visible,JUNCTION BOXES WITH PLAIN SCREWED LID - IP55 - INTERNAL DIMENSIONS 120X80X50 - WALLS WITH CABLE GLANDS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44005.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44005-300x157.png"" alt="""" width=""300"" height=""157"" class=""alignnone size-medium wp-image-1085"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44005",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44005.jpg,,,,,,,,,0,14,,30,,,,,,,
1087,simple,,Gw44006,1,0,visible,"JUNCTION BOXES WITH PLAIN SCREWED LID - IP55 - INTERNAL DIMENSIONS 150X110X70 - WALLS WITH CABLE GLANDS 
\n
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44006.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44006-300x159.png"" alt="""" width=""300"" height=""159"" class=""alignnone size-medium wp-image-1090"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44006",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44006-1.jpg,,,,,,,,,0,14,,30,,,,,,,
