id,title,status,is_featured,brand,iebg price,kellihers price,independence price,EWL price
302,GW62074,active,0,Gewiss,9.76,9.76,9.76,9.76
303,GW62075,active,1,Gewiss,8.26,8.26,8.26,8.26
304,GW62076,active,1,Gewiss,9.76,9.76,9.76,9.76
305,GW62201H,active,1,Gewiss,4.91,4.91,4.91,4.91
306,GW62205H,active,1,Gewiss,4.91,4.91,4.91,4.91
307,GW62208H,active,1,Gewiss,7.41,7.41,7.41,7.41
308,GW62209H,active,1,Gewiss,7.48,7.48,7.48,7.48
309,GW62210H,active,1,Gewiss,7.48,7.48,7.48,7.48
310,GW62213H,active,0,Gewiss,9.04,9.04,9.04,9.04
311,GW62216H,active,0,Gewiss,9.04,9.04,9.04,9.04
312,GW62219H,active,0,Gewiss,11.96,11.96,11.96,11.96
313,GW62220H,active,1,Gewiss,10.53,10.53,10.53,10.53
314,GW62221H,active,1,Gewiss,12.06,12.06,12.06,12.06
315,GW62224H,active,0,Gewiss,8.69,8.69,9.31,8.69
316,GW62227H,active,0,Gewiss,8.69,8.69,9.31,8.69
317,GW62231H,active,1,Gewiss,13.72,13.72,13.72,13.72
318,GW62232H,active,1,Gewiss,13.72,13.72,13.72,13.72
319,GW62235H,active,0,Gewiss,16.64,16.64,16.64,16.64
320,GW62238H,active,1,Gewiss,16.64,16.64,16.64,16.64
321,GW62242H,active,0,Gewiss,17.97,17.97,17.97,17.97
322,GW62243H,active,1,Gewiss,18.43,18.43,18.43,18.43
323,GW62260H,active,0,Gewiss,228.64,228.64,228.64,228.64
324,GW62261H,active,1,Gewiss,214.01,214.01,214.01,214.01
325,GW62262H,active,1,Gewiss,217.91,217.91,217.91,217.91
326,GW62265,active,1,Gewiss,7.99,7.99,7.99,7.99
327,GW62266,active,0,Gewiss,9.76,9.76,9.76,9.76
328,GW62267,active,0,Gewiss,7.99,7.99,7.99,7.99
329,GW62268,active,1,Gewiss,9.08,9.08,9.08,9.08
330,GW62401,active,1,Gewiss,5.71,5.71,6.11,5.71
331,GW62404,active,1,Gewiss,5.71,5.71,6.11,5.71
332,GW62408,active,1,Gewiss,7.51,7.51,6.60,7.51
333,GW62409,active,1,Gewiss,6.77,6.77,7.26,6.77
334,GW62412,active,1,Gewiss,11.88,11.88,10.44,11.88
335,GW62415,active,1,Gewiss,8.85,8.85,9.49,8.85
336,GW62419,active,0,Gewiss,11.88,11.88,11.88,11.88
337,GW62420,active,1,Gewiss,10.31,10.31,11.04,10.31
338,GW62423,active,1,Gewiss,9.75,9.75,10.44,9.75
339,GW62426,active,0,Gewiss,9.07,9.07,9.71,9.07
340,GW62430,active,1,Gewiss,9.75,9.75,10.44,9.75
341,GW62431,active,0,Gewiss,10.81,10.81,11.59,10.81
342,GW62434,active,0,Gewiss,19.79,19.79,17.40,19.79
343,GW62437,active,1,Gewiss,13.49,13.49,14.46,13.49
344,GW62441,active,1,Gewiss,14.11,14.11,15.11,14.11
345,GW62442,active,1,Gewiss,15.07,15.07,16.14,15.07
346,GW62456,active,0,Gewiss,11.53,11.53,11.53,11.53
347,GW62457,active,0,Gewiss,13.58,13.58,13.58,13.58
348,GW62458,active,0,Gewiss,12.22,12.22,12.22,12.22
349,GW62459,active,1,Gewiss,13.58,13.58,13.58,13.58
350,GW62474,active,1,Gewiss,8.05,8.05,8.05,8.05
351,GW62477,active,0,Gewiss,8.05,8.05,8.05,8.05
352,GW62481,active,0,Gewiss,8.46,8.46,8.46,8.46
353,GW62482,active,1,Gewiss,8.87,8.87,8.87,8.87
354,GW62485,active,0,Gewiss,13.99,13.99,13.99,13.99
355,GW62488,active,0,Gewiss,11.88,11.88,11.88,11.88
356,GW62492,active,1,Gewiss,12.56,12.56,12.56,12.56
357,GW62493,active,0,Gewiss,13.51,13.51,13.51,13.51
358,GW62496,active,0,Gewiss,13.49,13.49,16.45,13.49
359,GW62499,active,0,Gewiss,11.53,11.53,14.06,11.53
360,GW62504,active,0,Gewiss,12.43,12.43,15.15,12.43
361,GW62505,active,0,Gewiss,13.49,13.49,16.45,13.49
362,GW62508,active,0,Gewiss,23.07,23.07,23.07,23.07
363,GW62511,active,1,Gewiss,16.13,16.13,19.66,16.13
364,GW62515,active,0,Gewiss,16.57,16.57,19.66,16.57
365,GW62516,active,1,Gewiss,18.25,18.25,22.25,18.25
366,GW62534,active,1,Gewiss,107.15,107.15,107.15,107.15
367,GW62535,active,1,Gewiss,104.42,104.42,104.42,104.42
368,GW63045H,active,0,Gewiss,65.33,65.33,65.33,65.33
369,GW63048H,active,1,Gewiss,60.45,60.45,60.45,60.45
370,GW63049H,active,1,Gewiss,72.64,72.64,72.64,72.64
371,GW63050H,active,0,Gewiss,74.59,74.59,74.59,74.59
372,GW63052H,active,0,Gewiss,53.60,53.60,65.33,53.60
373,GW63053H,active,1,Gewiss,54.80,54.80,66.79,54.80
374,GW63246H,active,0,Gewiss,67.76,67.76,67.76,67.76
375,GW63249H,active,1,Gewiss,67.28,67.28,67.28,67.28
376,GW63253H,active,0,Gewiss,69.23,69.23,69.23,69.23
377,GW63254H,active,1,Gewiss,71.66,71.66,71.66,71.66
378,GW63445,active,0,Gewiss,44.16,44.16,44.16,44.16
379,GW63448,active,1,Gewiss,35.73,35.73,46.54,35.73
380,GW63449,active,1,Gewiss,49.07,49.07,49.07,49.07
381,GW63450,active,0,Gewiss,50.98,50.98,50.98,50.98
382,GW63452,active,1,Gewiss,46.89,46.89,46.89,46.89
383,GW63453,active,0,Gewiss,37.47,37.47,45.66,37.47
384,GW63522,active,1,Gewiss,40.27,40.27,49.07,40.27
385,GW63526,active,0,Gewiss,49.14,49.14,49.14,49.14
386,GW63527,active,1,Gewiss,41.16,41.16,50.16,41.16
387,GW64008,active,1,Gewiss,34.88,34.88,34.88,34.88
388,GW64010,active,0,Gewiss,31.67,31.67,31.67,31.67
389,GW64013,active,1,Gewiss,36.72,36.72,36.72,36.72
390,GW64014,active,1,Gewiss,41.50,41.50,41.50,41.50
391,GW64022,active,1,Gewiss,38.31,38.31,46.68,38.31
392,GW64024,active,1,Gewiss,33.88,33.88,41.50,33.88
393,GW64027,active,1,Gewiss,47.78,47.78,47.78,47.78
394,GW64050,active,0,Gewiss,75.76,75.76,75.76,75.76
395,GW64052,active,1,Gewiss,70.30,70.30,70.30,70.30
396,GW64055,active,0,Gewiss,80.54,80.54,80.54,80.54
397,GW64056,active,0,Gewiss,94.19,94.19,94.19,94.19
398,GW64068,active,0,Gewiss,83.27,83.27,83.27,83.27
399,GW64204,active,0,Gewiss,12.09,12.09,14.74,12.09
400,GW66201N,active,1,Gewiss,41.56,41.56,36.54,41.56
401,GW66204N,active,0,Gewiss,31.08,31.08,33.30,31.08
402,GW66208N,active,0,Gewiss,41.36,41.36,36.36,41.36
403,GW66209N,active,1,Gewiss,33.03,33.03,35.39,33.03
404,GW66212N,active,0,Gewiss,0.00,0.00,46.86,0.00
405,GW66215N,active,0,Gewiss,35.53,35.53,38.07,35.53
406,GW66219N,active,0,Gewiss,53.30,53.30,42.80,53.30
407,GW66220N,active,1,Gewiss,42.43,42.43,45.46,42.43
408,GW66445,active,1,Gewiss,43.68,43.68,43.68,43.68
409,GW66448,active,1,Gewiss,39.99,39.99,39.99,39.99
