product_model,product_link,image_found,pdf_found,desc_found
GW61453,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW61453,True,True,False
GW60460,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60460,True,True,False
GW60461,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60461,True,True,False
GW62001H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62001H,True,True,False
GW62004H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62004H,True,True,False
GW62008H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62008H,True,True,False
GW62009H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62009H,True,True,False
GW62012H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62012H,True,True,False
GW62015H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62015H,True,True,False
GW62019H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62019H,True,True,False
GW62020H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62020H,True,True,False
GW62064,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62064,True,True,False
GW62065,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62065,True,True,False
GW62066,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62066,True,True,False
GW62067,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62067,True,True,False
GW62073,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62073,True,True,False
GW62074,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62074,True,True,False
GW62075,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62075,True,True,False
GW62076,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62076,True,True,False
GW62023H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62023H,True,True,False
GW62026H,,False,False,False
GW62030H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62030H,True,True,False
GW62031H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62031H,True,True,False
GW62034H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62034H,True,True,False
GW62037H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62037H,True,True,False
GW62041H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62041H,True,True,False
GW62042H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62042H,True,True,False
GW63045H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63045H,False,False,False
GW63048H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63048H,True,True,False
GW63049H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63049H,True,True,False
GW63050H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63050H,True,True,False
GW63052H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63052H,True,True,False
GW63053H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63053H,True,True,False
GW62060H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62060H,True,True,False
GW62061H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62061H,True,True,False
GW62201H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62201H,True,True,False
GW62205H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62205H,True,True,False
GW62208H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62208H,True,True,False
GW62209H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62209H,True,True,False
GW62210H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62210H,True,True,False
GW62213H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62213H,True,True,False
GW62216H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62216H,True,True,False
GW62219H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62219H,True,True,False
GW62220H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62220H,True,True,False
GW62221H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62221H,True,True,False
GW62265,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62265,True,True,False
GW62266,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62266,True,True,False
GW62267,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62267,True,True,False
GW62268,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62268,True,True,False
GW62224H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62224H,True,True,False
GW62227H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62227H,True,True,False
GW62231H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62231H,True,True,False
GW62232H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62232H,True,True,False
GW62235H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62235H,True,True,False
GW62238H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62238H,True,True,False
GW62242H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62242H,True,True,False
GW62243H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62243H,False,False,False
GW63246H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63246H,True,True,False
GW63249H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63249H,True,True,False
GW63253H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63253H,True,True,False
GW63254H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW63254H,True,True,False
GW62261H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62261H,True,True,False
GW62262H,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62262H,True,True,False
GW62401,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62401,True,True,False
GW62404,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62404,True,True,False
GW62408,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62408,True,True,False
GW62409,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62409,True,True,False
GW62412,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62412,True,True,False
GW62415,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62415,True,True,False
GW62419,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62419,True,True,False
GW62420,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW62420,True,True,False
GW62456,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62456,True,True,False
GW62457,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-bts-range-extra-low-voltage-plugs-and-socket-outlets-iec-309-standard/GW62457,True,True,False
